Features,Class
"-494.88311767578125,90.3637466430664,-6.705528259277344,30.759145736694336,-5.751039505004883,17.766298294067383,0.9852612018585205,17.400789260864258,-4.543769359588623,13.963397979736328,-1.6059833765029907,13.075386047363281,2.372924327850342,9.233781814575195,-3.6812427043914795,10.484557151794434,-3.180678367614746,7.24114465713501,-0.17417767643928528,4.783830165863037,0.6489332318305969,5.170835494995117,1.3335819244384766,6.815521240234375,4.620096206665039,5.048973560333252,4.269411087036133,4.920117378234863,5.60325813293457,5.423320293426514,4.845564842224121,3.7476398944854736,4.258965969085693,4.295154571533203,5.32199764251709,4.321893215179443,2.9707226753234863,3.1889443397521973,5.680253028869629,3.7097723484039307",Cargo
"-380.078857421875,105.53389739990234,-11.058292388916016,16.363037109375,-20.890647888183594,18.888925552368164,12.037413597106934,27.860614776611328,-6.128497123718262,11.057918548583984,-4.887375831604004,18.90765380859375,-6.347365379333496,6.47556734085083,-6.262697696685791,10.451460838317871,-1.5741547346115112,13.969149589538574,0.09975562244653702,7.403257846832275,-4.322081089019775,6.379757881164551,-0.7063854932785034,6.648067951202393,0.5492871403694153,9.743538856506348,-0.6002525091171265,7.189332008361816,-1.3553105592727661,6.518472671508789,-0.9582003355026245,5.0970940589904785,2.503084182739258,5.63936185836792,3.808197259902954,4.607768535614014,0.8748965859413147,-0.09970851242542267,2.7326416969299316,1.1340417861938477",Passenger
"-488.8506164550781,110.59504699707031,21.096914291381836,34.45524597167969,3.2801480293273926,19.217683792114258,-2.598104238510132,11.862988471984863,-5.030938625335693,7.800924301147461,-4.33230447769165,13.028436660766602,1.3144688606262207,12.087113380432129,-1.666674256324768,6.3745832443237305,-5.342979907989502,3.688469409942627,-4.710690975189209,1.1032263040542603,-4.126687526702881,4.587143898010254,1.0037332773208618,5.4022674560546875,3.564944267272949,6.864134788513184,4.347062587738037,5.032378196716309,3.4397456645965576,3.7542307376861572,2.688314199447632,2.981485605239868,3.594202756881714,3.991980791091919,5.902009010314941,5.594093322753906,7.295990943908691,4.963669300079346,6.395621299743652,4.065513610839844",Passenger
"-376.63671875,84.6303939819336,-16.908103942871094,19.28249168395996,-12.616362571716309,16.29234504699707,-0.0886494442820549,22.09576988220215,-9.037707328796387,11.245260238647461,-5.427673816680908,13.023531913757324,-5.264134407043457,9.7649564743042,-10.564787864685059,9.279853820800781,-4.475689888000488,9.585497856140137,-2.902177572250366,5.471524715423584,-3.4452991485595703,7.015577793121338,-2.2913429737091064,4.607654571533203,1.5141116380691528,6.260984897613525,2.3300747871398926,5.26284122467041,1.1837408542633057,5.07525634765625,1.911561369895935,4.710699558258057,3.523467779159546,5.417486190795898,3.0203568935394287,4.125157356262207,1.951080083847046,3.0872559547424316,4.676369667053223,4.618105888366699",Passenger
"-432.76025390625,97.86228942871094,4.234128475189209,25.171310424804688,-13.154784202575684,14.582564353942871,4.733071327209473,29.805936813354492,3.930999994277954,14.792336463928223,-4.8603739738464355,23.946304321289062,4.627995491027832,16.422361373901367,-0.17534470558166504,11.743409156799316,-2.8216071128845215,10.762970924377441,1.4504085779190063,8.658496856689453,-2.3499205112457275,10.475500106811523,-0.6327865123748779,6.761651039123535,-2.2199597358703613,5.118688106536865,-2.3953287601470947,3.514270782470703,-0.5730781555175781,3.827636480331421,-0.09345036745071411,3.112046957015991,1.1920616626739502,1.377228856086731,1.325500726699829,1.5495392084121704,0.7898811101913452,-0.9990870356559753,1.17715322971344,0.028053678572177887",Passenger
"-485.4428405761719,106.57939147949219,4.393391132354736,23.447586059570312,-8.422647476196289,15.580901145935059,0.5418019890785217,13.700273513793945,-1.3327441215515137,7.878681182861328,-4.517988204956055,9.48147201538086,-1.5983754396438599,11.720816612243652,0.1321636587381363,9.283028602600098,-2.5635218620300293,9.2415189743042,2.1186797618865967,10.023005485534668,0.993522584438324,8.337414741516113,-0.2136474847793579,5.357321262359619,1.4460804462432861,5.957682132720947,1.1893945932388306,3.5864083766937256,3.490190267562866,5.959750652313232,4.247774124145508,4.9204607009887695,3.696566343307495,2.944591999053955,5.170609474182129,4.166506290435791,4.419371604919434,0.6252968907356262,4.250135898590088,3.162900924682617",Passenger
"-407.4619140625,94.12659454345703,-2.1244001388549805,25.29218864440918,-9.225176811218262,8.973611831665039,-14.901111602783203,6.69842529296875,-5.231563568115234,18.376792907714844,-4.5299224853515625,18.891218185424805,-5.013550758361816,9.514060020446777,-0.12075293064117432,10.591670989990234,-3.625305414199829,9.734125137329102,-0.15118391811847687,9.717086791992188,-4.722147464752197,9.722912788391113,-0.6626543998718262,8.223886489868164,-1.4251757860183716,5.282622814178467,2.130263328552246,6.045004844665527,4.494303226470947,5.511083126068115,2.5880937576293945,5.2493696212768555,3.9896371364593506,1.520391583442688,3.687767267227173,3.9476428031921387,5.534380912780762,3.4338972568511963,4.754872798919678,1.510336995124817",Passenger
"-476.4172668457031,113.23941802978516,7.439898490905762,39.75830841064453,8.71634292602539,24.878820419311523,3.5383217334747314,21.41938018798828,0.1762254685163498,8.791729927062988,-0.5773831009864807,14.3832368850708,0.09050973504781723,8.491410255432129,-4.3479461669921875,5.678432464599609,-4.577757358551025,3.8658154010772705,-0.11826684325933456,2.866333484649658,-4.597213268280029,4.135496616363525,-0.2868686318397522,0.8081081509590149,-2.2719571590423584,2.1440846920013428,-0.7056668996810913,0.6548120379447937,0.4795418679714203,2.2084858417510986,0.8441987037658691,1.8804970979690552,2.763326406478882,3.7018074989318848,3.533078908920288,3.9195783138275146,4.071878433227539,2.0414276123046875,4.089273929595947,3.2323553562164307",Passenger
"-392.23345947265625,120.13839721679688,3.237502098083496,19.523500442504883,-14.63420295715332,11.656197547912598,-3.988865852355957,17.165374755859375,-9.454243659973145,4.494350433349609,-8.385004043579102,14.615997314453125,1.3450721502304077,12.935223579406738,0.15042424201965332,9.179831504821777,1.3172616958618164,11.100325584411621,1.5214283466339111,4.633581161499023,-2.0498034954071045,9.476659774780273,1.795792818069458,3.0509352684020996,-0.7599568963050842,2.0080270767211914,0.1461067646741867,2.7205634117126465,2.4467523097991943,3.524559259414673,5.178706169128418,7.282558441162109,5.7465925216674805,4.0188822746276855,4.988783359527588,1.414852261543274,2.3968324661254883,-1.203283429145813,2.7758255004882812,2.3108716011047363",Passenger
"-359.3292541503906,76.173828125,-13.429948806762695,21.68723487854004,14.652076721191406,25.40424156188965,-6.008163928985596,22.170778274536133,-12.52729320526123,8.352273941040039,-13.67230224609375,17.66952896118164,-6.176705837249756,10.113439559936523,-12.613369941711426,12.481133460998535,-7.098518371582031,14.91893482208252,-6.679951190948486,11.62662124633789,-4.613770961761475,11.227005004882812,-3.7585160732269287,6.593191623687744,-1.9123626947402954,2.988691806793213,-2.494082450866699,6.163311004638672,-0.31955572962760925,5.448953151702881,1.0664268732070923,3.91430401802063,1.7044031620025635,6.929158687591553,3.0142300128936768,6.549709796905518,2.5872061252593994,5.5841240882873535,2.8707404136657715,4.488489627838135",Passenger
"-420.7150573730469,107.04375457763672,0.7612996101379395,20.602394104003906,-10.78529167175293,19.50227165222168,4.204531669616699,22.441547393798828,-1.979788064956665,14.095534324645996,-1.4803096055984497,20.738872528076172,0.8810786604881287,15.148387908935547,-2.3332464694976807,11.5040864944458,-2.064931631088257,11.396367073059082,1.0922696590423584,6.615929126739502,-1.5288012027740479,10.081066131591797,-0.38254663348197937,6.157974720001221,-0.5365570783615112,4.85247802734375,-0.8876305818557739,4.282278060913086,0.5766938924789429,3.44052791595459,0.1818733662366867,3.005040168762207,0.8078718185424805,1.477413296699524,1.2963178157806396,2.189181327819824,0.7347379922866821,-0.3988460898399353,2.148820161819458,0.5143613815307617",Passenger
"-460.3736572265625,120.98556518554688,10.622617721557617,22.23166275024414,-7.2213454246521,13.231760025024414,0.5320205688476562,14.404030799865723,-4.578617572784424,8.685688018798828,-3.777557134628296,12.32772159576416,-0.3913975656032562,9.498068809509277,-3.451817035675049,9.232930183410645,-1.711119294166565,7.8752007484436035,0.48984068632125854,6.921428680419922,0.03146558254957199,8.356342315673828,0.5641172528266907,4.9806413650512695,1.8309245109558105,6.313606262207031,2.4671576023101807,4.328303813934326,1.9373725652694702,3.7642157077789307,1.178580403327942,1.6792263984680176,0.8146297335624695,2.151669502258301,2.8234245777130127,3.35235857963562,3.6854732036590576,2.8519082069396973,4.484323978424072,3.7849557399749756",Passenger
"-408.5765686035156,104.0896224975586,2.7793569564819336,23.25507926940918,-7.795588970184326,23.835905075073242,7.115716457366943,16.8408260345459,-8.223711013793945,11.122787475585938,-0.6128496527671814,20.84600067138672,-6.128593921661377,12.749016761779785,1.8890835046768188,14.435050010681152,-1.201500415802002,11.51280689239502,-0.6659508347511292,12.224754333496094,-2.071683883666992,10.205400466918945,-2.509899616241455,6.477513790130615,-1.9314707517623901,6.334453105926514,-2.882089138031006,6.6876139640808105,1.5473079681396484,5.530539035797119,-0.29872405529022217,5.332027435302734,-0.6314454078674316,3.198281764984131,0.2557002902030945,0.6768966913223267,-1.436625361442566,-0.8238071799278259,-0.5769309401512146,0.19456367194652557",Passenger
"-396.6596984863281,93.75093841552734,5.151040554046631,25.84388542175293,-7.851139545440674,18.351078033447266,-3.620002269744873,22.748546600341797,-6.140227317810059,11.852380752563477,-3.403216600418091,16.67649269104004,-2.0930216312408447,14.275019645690918,-6.726928234100342,10.45406723022461,-3.870243787765503,12.430519104003906,-0.2720813751220703,8.216410636901855,-4.152793884277344,10.107466697692871,-1.3295799493789673,7.272360801696777,0.257215678691864,5.650087833404541,-0.4640985429286957,5.350438117980957,1.153493046760559,4.422759056091309,-0.2600645124912262,3.55788516998291,0.9045289754867554,3.487483263015747,1.7005877494812012,4.392989635467529,0.9138137102127075,2.2823376655578613,2.180220365524292,2.841820240020752",Passenger
"-343.2615966796875,93.45295715332031,2.1886863708496094,18.809568405151367,-19.85711669921875,8.426115989685059,1.0857713222503662,23.511926651000977,0.295450359582901,16.797168731689453,-9.679967880249023,20.50618553161621,-1.3207333087921143,14.158243179321289,-3.0046820640563965,13.501518249511719,-2.95471453666687,13.198202133178711,-0.2917391061782837,11.820964813232422,-5.819401741027832,9.560667991638184,-0.6899914741516113,6.532228469848633,-2.154893636703491,4.694143772125244,-0.368105947971344,6.81098747253418,1.8490475416183472,8.46684455871582,-0.6367765069007874,3.8220083713531494,-0.6062836647033691,3.391652822494507,-0.5146021842956543,0.7442045211791992,0.4436121881008148,0.5558997392654419,1.8594670295715332,3.077993631362915",Passenger
"-401.59136962890625,98.27239990234375,4.196684837341309,30.105127334594727,-8.28090763092041,18.422382354736328,-2.2590062618255615,21.0976619720459,-2.3308677673339844,12.402493476867676,-3.57100248336792,19.5020751953125,-0.48935288190841675,15.420891761779785,-0.7770346403121948,15.775858879089355,0.06398127973079681,14.295062065124512,-0.8117364048957825,8.836027145385742,-4.238190174102783,9.785919189453125,-0.908781111240387,6.973196506500244,-0.17097990214824677,5.3806962966918945,-1.594308614730835,3.710601568222046,0.8786821961402893,3.482938528060913,-0.20436908304691315,3.0501725673675537,0.39710238575935364,1.7401620149612427,-0.30221396684646606,1.4538490772247314,-0.10815303772687912,-0.260427862405777,1.5720138549804688,0.30468863248825073",Passenger
"-434.17645263671875,99.72892761230469,-6.304874897003174,14.468445777893066,-15.440463066101074,33.472312927246094,16.421030044555664,16.705352783203125,-2.555307626724243,17.969066619873047,-0.8761634230613708,20.63149070739746,5.934445381164551,13.107412338256836,-3.4192981719970703,16.802173614501953,-4.734249114990234,12.646421432495117,4.237175464630127,4.998830795288086,-4.274424076080322,8.559322357177734,1.8680567741394043,3.264726161956787,-0.7595124244689941,3.788076162338257,2.385859727859497,1.8779244422912598,-1.516262173652649,-1.414245843887329,0.233474001288414,4.893649578094482,1.2126325368881226,2.201817035675049,-1.460585355758667,1.5096875429153442,-0.9528018236160278,0.14903293550014496,1.7910723686218262,1.2382527589797974",Passenger
"-448.4454040527344,99.8323974609375,-11.523138999938965,17.318809509277344,-4.246298789978027,25.823944091796875,5.830888271331787,25.84975242614746,-7.285083770751953,11.251731872558594,-1.6472405195236206,13.025521278381348,2.3737292289733887,9.959626197814941,-4.029536247253418,9.675236701965332,-2.0387840270996094,8.969573974609375,0.023606054484844208,5.939093589782715,-0.15276464819908142,9.50379753112793,0.3879221975803375,8.694525718688965,0.631488025188446,4.9967241287231445,3.1284775733947754,4.080799102783203,2.884247303009033,5.1297607421875,2.430629253387451,3.523796796798706,2.4657368659973145,2.848618507385254,3.0676796436309814,3.318758010864258,2.6011593341827393,2.261017322540283,2.865841865539551,3.3201355934143066",Passenger
"-446.5492248535156,100.41845703125,-5.587140083312988,22.39813804626465,-11.709720611572266,17.75187110900879,9.70695972442627,31.50145721435547,-0.17433688044548035,2.009575366973877,-15.037274360656738,10.231888771057129,-2.95951247215271,10.602875709533691,-2.9740052223205566,10.370460510253906,-1.4832013845443726,4.732977867126465,-3.820554733276367,8.60660171508789,1.7589560747146606,8.71018123626709,1.2117716073989868,6.557431221008301,0.5796883702278137,7.04667329788208,3.4002106189727783,5.121039390563965,2.466944694519043,3.4945924282073975,2.6007089614868164,4.961911201477051,2.7887189388275146,3.8677496910095215,4.40689754486084,4.239565372467041,5.249565124511719,3.8554506301879883,4.696759223937988,3.697075605392456",Passenger
"-250.57545471191406,62.77452850341797,-2.7872581481933594,28.10409927368164,7.654376983642578,20.324398040771484,-3.1909384727478027,19.408327102661133,0.4082479476928711,18.629650115966797,-8.992066383361816,16.26317024230957,-7.080784320831299,6.142483234405518,-5.408452987670898,15.681981086730957,-6.692643642425537,7.024345397949219,-9.951289176940918,6.210787773132324,-3.3988797664642334,11.396477699279785,-3.889288902282715,2.3108060359954834,-5.677260398864746,6.8175811767578125,0.009768649935722351,5.024367809295654,-4.08347749710083,1.6408636569976807,-3.4599952697753906,5.043461322784424,-0.7111890316009521,1.9589755535125732,-2.9625887870788574,3.177220582962036,0.8271557092666626,4.244513034820557,-1.1535319089889526,1.5859520435333252",Passenger
"-517.0999145507812,99.89263153076172,-3.9308815002441406,15.830015182495117,5.789769649505615,13.006834983825684,-3.5527334213256836,7.483911991119385,0.8186577558517456,11.849138259887695,6.177182197570801,16.911487579345703,2.549995183944702,6.56665563583374,-0.12166649848222733,6.4007697105407715,-0.16129493713378906,2.8170042037963867,-0.29774439334869385,4.7531938552856445,0.8784886598587036,4.7130208015441895,3.1689321994781494,7.214149475097656,4.619939804077148,2.1617987155914307,2.412982225418091,1.481216311454773,2.695409059524536,3.932480573654175,5.260744571685791,3.2143144607543945,5.525176525115967,5.950711250305176,6.990336894989014,4.894720554351807,5.217766761779785,0.5650349259376526,4.948380947113037,3.4328091144561768",Passenger
"-507.30072021484375,94.57525634765625,-6.198551177978516,14.350387573242188,-0.373550146818161,9.954377174377441,-0.442813515663147,13.285499572753906,2.713165044784546,13.337082862854004,4.101952075958252,14.81100845336914,4.866753101348877,10.100397109985352,3.175687551498413,10.31664752960205,2.945659637451172,8.978578567504883,2.9529874324798584,4.5071258544921875,0.8678678274154663,5.830329895019531,2.6562206745147705,4.516408443450928,0.328250527381897,2.098478317260742,4.973738193511963,3.9971530437469482,5.139647960662842,3.5643787384033203,2.772000551223755,3.107443332672119,4.191463947296143,2.8780627250671387,3.990227222442627,2.531961441040039,3.4570250511169434,1.9256494045257568,5.1888909339904785,3.7569475173950195",Passenger
"-377.138427734375,82.47437286376953,-7.206395149230957,25.739349365234375,-10.1433687210083,21.261137008666992,1.8838082551956177,21.943714141845703,-5.326941967010498,13.796436309814453,-5.148507595062256,19.601613998413086,-1.8299278020858765,16.824317932128906,-3.8368117809295654,13.645325660705566,-2.4590847492218018,13.251215934753418,-2.3378310203552246,7.499347686767578,-4.411586761474609,10.420896530151367,-3.596632957458496,8.291109085083008,-2.2011241912841797,5.62883186340332,-2.5073046684265137,5.005537986755371,-0.045577868819236755,5.672636985778809,-1.4922850131988525,4.21600341796875,-0.7609032988548279,2.435029983520508,0.0896795243024826,2.541569948196411,-1.4444751739501953,-0.2900964319705963,0.9680534601211548,0.8062569499015808",Passenger
"-361.84808349609375,119.43795776367188,-0.8004875183105469,33.76927947998047,-2.456433057785034,18.60382843017578,-1.9147387742996216,17.487985610961914,-6.441103935241699,6.193815231323242,-10.850010871887207,16.225570678710938,-4.334488391876221,11.97921371459961,0.2271043062210083,13.036965370178223,-2.634669065475464,8.59976577758789,-7.5302557945251465,1.982043743133545,-10.334517478942871,7.327236175537109,-3.4304769039154053,8.004096984863281,1.693286418914795,9.585229873657227,2.5070900917053223,7.047666072845459,2.397022008895874,2.994797945022583,-1.1657825708389282,1.609155535697937,1.0434750318527222,1.2337603569030762,2.1983530521392822,3.107978343963623,3.2415945529937744,0.608371376991272,2.0394375324249268,0.7159414291381836",Passenger
"-438.89801025390625,110.72379302978516,-4.8854546546936035,26.792362213134766,-1.286354422569275,17.98246955871582,-1.4012373685836792,14.424795150756836,-3.5148463249206543,8.159693717956543,-6.072854518890381,12.828446388244629,-0.6826134920120239,10.285926818847656,0.9177243709564209,11.19083309173584,-0.7816670536994934,4.709940433502197,-4.835894584655762,2.449875593185425,-2.2016141414642334,6.795146942138672,-0.7231873273849487,5.597041130065918,2.8536009788513184,6.478798866271973,4.754898548126221,5.304920196533203,4.298762321472168,3.7092020511627197,0.9456509351730347,3.1084225177764893,1.7673208713531494,2.548630475997925,4.151292324066162,4.072552680969238,4.160338878631592,0.8904785513877869,3.9737281799316406,2.6820502281188965",Passenger
"-364.9708251953125,80.16919708251953,3.6827049255371094,32.2584114074707,-5.71185827255249,14.0961332321167,-11.073513984680176,16.861188888549805,-0.42245903611183167,15.367950439453125,-7.634873390197754,17.465152740478516,-5.002238750457764,13.668489456176758,-0.8493542671203613,15.18186092376709,-1.1627181768417358,10.730727195739746,-3.1089298725128174,11.63787841796875,-2.031752586364746,12.189515113830566,-3.5998544692993164,7.238121509552002,-2.8240978717803955,6.917813301086426,-0.03101801685988903,4.022696495056152,-0.17251935601234436,4.385074615478516,2.906019687652588,5.020465850830078,2.921757698059082,3.203807830810547,2.4153354167938232,3.4157555103302,3.6661248207092285,2.479050636291504,2.715039014816284,2.4906930923461914",Passenger
"-404.6369323730469,99.44168090820312,-6.683178424835205,29.06668472290039,-0.08757957816123962,21.651561737060547,-2.8949782848358154,20.839488983154297,0.4626035988330841,12.719850540161133,-8.248844146728516,15.882172584533691,-0.9947238564491272,13.800786018371582,-3.6665198802948,12.890156745910645,0.4122750163078308,13.079934120178223,0.11557680368423462,8.259794235229492,-0.9952689409255981,9.766162872314453,-1.1713420152664185,6.908594131469727,-0.6012839674949646,4.601040840148926,-1.963803768157959,4.5110087394714355,0.6971840262413025,5.480225086212158,0.23542560636997223,5.531545639038086,2.2416718006134033,3.663595199584961,1.7086584568023682,3.038726329803467,0.45428112149238586,1.1618058681488037,1.6311577558517456,1.3350025415420532",Passenger
"-417.8127136230469,84.10386657714844,-6.432738780975342,35.066951751708984,-3.6497628688812256,14.107254028320312,3.9036519527435303,23.41859245300293,-9.43889045715332,14.761398315429688,-1.1193803548812866,23.462465286254883,-1.9847412109375,12.552946090698242,-1.7385998964309692,9.812800407409668,-0.6909370422363281,12.140646934509277,-1.385337233543396,7.8600850105285645,-3.781187057495117,14.138917922973633,-2.457857131958008,9.003632545471191,-1.3200719356536865,5.11589241027832,-0.8402765989303589,7.913975238800049,3.472407341003418,9.031172752380371,0.049995776265859604,5.59071159362793,1.6539740562438965,2.6358070373535156,2.571044921875,3.2475180625915527,2.8528966903686523,0.17846424877643585,4.6221394538879395,0.5740307569503784",Passenger
"-356.8921203613281,97.20378112792969,-10.16488265991211,23.100788116455078,-9.571406364440918,24.681238174438477,2.5448577404022217,22.848299026489258,-5.008581638336182,11.451780319213867,-5.759458065032959,17.133529663085938,-0.911275327205658,15.110565185546875,-4.877683162689209,13.196244239807129,-2.4166483879089355,14.785967826843262,-2.865185022354126,6.993898868560791,-3.6415035724639893,9.750391960144043,-1.6241782903671265,8.045340538024902,-1.3330808877944946,4.7458953857421875,-0.07584012299776077,6.059911727905273,1.1069148778915405,5.172806262969971,-0.21372461318969727,4.219741344451904,0.5706222653388977,3.389892101287842,0.8661433458328247,3.1708855628967285,0.06940951943397522,2.981703519821167,1.5200127363204956,2.0609872341156006",Passenger
